,년월,성별,연령대,세종특별자치시,조치원읍,연기면,연동면,부강면,금남면,장군면,연서면,전의면,전동면,소정면,한솔동,새롬동,도담동,아름동,종촌동,고운동,소담동,보람동,대평동,다정동
44,201703,남자,(0~9세),18451,2492,57,87,236,263,133,231,195,66,90,1933,0,2668,2466,2912,2797,0,1825,0,0
45,201703,남자,(10~19세),14379,2488,91,113,284,278,207,314,274,97,124,1805,0,2010,1965,1867,1474,0,988,0,0
46,201703,남자,(20~29세),13652,3498,218,206,455,620,544,536,408,243,184,1048,0,1550,872,1302,1051,0,917,0,0
47,201703,남자,(30~39세),22828,3717,173,233,500,625,540,542,390,227,170,1855,0,3137,2230,3291,3138,0,2060,0,0
48,201703,남자,(40~49세),24346,4110,265,244,575,761,580,621,523,285,267,2646,0,3282,2915,3085,2502,0,1685,0,0
49,201703,남자,(50~59세),15603,3407,292,366,656,1029,635,754,644,486,267,1105,0,1601,1046,1368,1003,0,944,0,0
50,201703,남자,(60~69세),9147,2160,205,320,398,817,457,645,436,395,185,384,0,689,436,624,610,0,386,0,0
51,201703,남자,(70~79세),4731,1233,114,162,293,449,260,381,290,231,118,175,0,311,124,283,203,0,104,0,0
52,201703,남자,(80~89세),1725,395,41,86,124,184,116,176,144,92,48,46,0,94,42,68,48,0,21,0,0
53,201703,남자,(90~99세),134,34,6,5,8,18,4,8,9,5,5,6,0,13,6,2,3,0,2,0,0
54,201703,남자,(100세_이상),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,201703,여자,(0~9세),17750,2377,55,100,227,233,145,237,183,52,89,1884,0,2541,2343,2912,2603,0,1769,0,0
56,201703,여자,(10~19세),14014,2369,78,81,248,268,180,237,252,88,134,1830,0,1981,1841,1934,1492,0,1001,0,0
57,201703,여자,(20~29세),13405,2927,141,177,329,473,406,371,310,155,144,1167,0,2022,989,1514,1266,0,1014,0,0
58,201703,여자,(30~39세),24236,3342,138,160,317,465,281,398,265,120,133,2314,0,3769,2822,3922,3525,0,2265,0,0
59,201703,여자,(40~49세),21419,3525,135,175,412,500,324,405,388,190,190,2501,0,3117,2801,2842,2336,0,1578,0,0
60,201703,여자,(50~59세),14403,3221,225,266,531,810,551,662,490,351,215,986,0,1556,940,1413,1182,0,1004,0,0
61,201703,여자,(60~69세),9466,2236,181,284,451,749,419,559,451,340,161,462,0,831,455,770,710,0,407,0,0
62,201703,여자,(70~79세),6272,1596,146,245,376,602,322,534,431,254,169,253,0,421,206,350,239,0,128,0,0
63,201703,여자,(80~89세),3586,768,107,205,200,401,188,279,249,217,109,142,0,253,129,178,85,0,76,0,0
64,201703,여자,(90~99세),576,122,14,34,26,65,23,54,56,24,9,18,0,36,26,35,19,0,15,0,0
65,201703,여자,(100세_이상),24,5,0,1,1,3,2,2,0,2,2,0,0,1,1,1,2,0,1,0,0
66,201704,남자,(0~9세),18652,2469,56,87,233,260,133,230,191,66,90,2090,0,2694,2432,2898,2778,0,1945,0,0
